HG00096	51.5
HG00171	53.6
HG00268	52.6
HG00358	57.3
HG00512	61.1
HG00513	81.1
HG00514	61
HG00731	61.2
HG00732	45.5
HG00733	90.4
HG00864	43.5
HG01114	56.3
HG01352	65.8
HG01457	55.6
HG01505	52.4
HG01573	49.1
HG01596	51.1
HG01890	54
HG02011	59.9
HG02018	50.7
HG02059	56.1
HG02106	45.7
HG02282	48
HG02492	66.1
HG02554	81.7
HG02587	48.3
HG02666	61.5
HG02769	52.5
HG02818	64.5
HG02953	59.8
HG03009	76.6
HG03065	82.4
HG03248	44
HG03371	56
HG03452	55.5
HG03456	61.3
HG03520	45.2
HG03683	54.9
HG03732	54.2
HG03807	58.2
HG04036	54.8
HG04217	48.2
NA12329	51
NA18534	58.4
NA18939	36.1
NA18989	50.4
NA19036	46
NA19129	50.6
NA19238	55.2
NA19239	42.5
NA19240	63.3
NA19317	62.3
NA19331	49
NA19347	66
NA19384	54.7
NA19434	48.5
NA19650	59.6
NA19705	67.5
NA19836	45.2
NA19983	50.6
NA20355	49.4
NA20509	55.4
NA20847	40.8
NA21487	65.6
NA24385	194
